id	vocalized	unvocalized	rule	category	note	first	second
2146	الْأَظْهَرِ الْآتِي	الأظهر الآتي	20			الأظهر	الآتي
2147	الْأَظْهَر السَّابِق	الأظهر السابق	20	نعت ومنعوت		الأظهر	السابق
2148	الْأَظْهَر الْقَائِل	الأظهر القائل	20	نعت ومنعوت		الأظهر	القائل
2149	الْأَعْذَار الْآتِيَة	الأعذار الآتية	20	نعت ومنعوت		الأعذار	الآتية
2150	الْأَعْذَار الْعَامَّة	الأعذار العامة	20	نعت ومنعوت		الأعذار	العامة
2151	الْأَعْذَار الْمُبِيحَة	الأعذار المبيحة	20	نعت ومنعوت		الأعذار	المبيحة
2152	الْأَعْذَار الْمَذْكُورَة	الأعذار المذكورة	20	نعت ومنعوت		الأعذار	المذكورة
2153	الْأَعْذَار الْمُسْقِطَة	الأعذار المسقطة	20	نعت ومنعوت		الأعذار	المسقطة
2154	الْأَعَزّ الْأَكْرَم	الأعز الأكرم	20	نعت ومنعوت		الأعز	الأكرم
2155	الْأَعْضَاء الْأَرْبَعَة	الأعضاء الأربعة	20	نعت ومنعوت		الأعضاء	الأربعة
2156	الْأَعْضَاء الْبَاطِنَة	الأعضاء الباطنة	20	نعت ومنعوت		الأعضاء	الباطنة
2157	الْأَعْضَاء الظَّاهِرَة	الأعضاء الظاهرة	20	نعت ومنعوت		الأعضاء	الظاهرة
2158	الْأَعْضَاء الْمَذْكُورَة	الأعضاء المذكورة	20	نعت ومنعوت		الأعضاء	المذكورة
2159	الْأَعْضَاء الْمَغْسُولَة	الأعضاء المغسولة	20	نعت ومنعوت		الأعضاء	المغسولة
2160	الْأَعْلَى الثَّعْلَبِيِّ	الأعلى الثعلبي	20			الأعلى	الثعلبي
2161	الأَعْلَى الصَّنْعَانِيُّ	الأعلى الصنعاني	20		Confused;;;الأَعْلَى الصَّنْعَانِيِّ	الأعلى	الصنعاني
2162	الْأَعَمّ الْأَغْلَب	الأعم الأغلب	20	نعت ومنعوت		الأعم	الأغلب
2163	الْأَعَمّ الشَّامِل	الأعم الشامل	20	نعت ومنعوت		الأعم	الشامل
2164	الْأَعْمَال الشَّاقَّة	الأعمال الشاقة	20	نعت ومنعوت		الأعمال	الشاقة
2165	الْأَعْمَال الصَّالِحَة	الأعمال الصالحة	20	نعت ومنعوت		الأعمال	الصالحة
2166	الْأَعْمَال الْكَثِيرَة	الأعمال الكثيرة	20	نعت ومنعوت		الأعمال	الكثيرة
2167	الْأَعْوَام الْمَاضِيَة	الأعوام الماضية	20	نعت ومنعوت		الأعوام	الماضية
2168	الْأَعْيَان الطَّاهِرَة	الأعيان الطاهرة	20	نعت ومنعوت		الأعيان	الطاهرة
2169	الْأَعْيَان الْغَائِبَة	الأعيان الغائبة	20	نعت ومنعوت		الأعيان	الغائبة
2170	الْأَعْيَان الْمُشْتَرَكَة	الأعيان المشتركة	20	نعت ومنعوت		الأعيان	المشتركة
2171	الْأَعْيَان الْمَضْمُونَة	الأعيان المضمونة	20	نعت ومنعوت		الأعيان	المضمونة
2172	الْأَعْيَان الْمَمْلُوكَة	الأعيان المملوكة	20	نعت ومنعوت		الأعيان	المملوكة
2173	الْأَعْيَان النَّجِسَة	الأعيان النجسة	20	نعت ومنعوت		الأعيان	النجسة
2174	الْأَغْسَال الْمَسْنُونَة	الأغسال المسنونة	20	نعت ومنعوت		الأغسال	المسنونة
2175	الْأَفْعَال الِاخْتِيَارِيَّة	الأفعال الاختيارية	20	نعت ومنعوت		الأفعال	الاختيارية
2176	الْأَفْعَال الْحِسِّيَّة	الأفعال الحسية	20	نعت ومنعوت		الأفعال	الحسية
2177	الْأَفْعَال الشَّرْعِيَّة	الأفعال الشرعية	20	نعت ومنعوت		الأفعال	الشرعية
2178	الْأَفْعَال الظَّاهِرَة	الأفعال الظاهرة	20	نعت ومنعوت		الأفعال	الظاهرة
2179	الْأَفْعَال الْكَثِيرَة	الأفعال الكثيرة	20	نعت ومنعوت		الأفعال	الكثيرة
2180	الْأَقْرَب الْغَائِب	الأقرب الغائب	20	نعت ومنعوت		الأقرب	الغائب
2181	الْأَقْرَب الْمُوَافِق	الأقرب الموافق	20	نعت ومنعوت		الأقرب	الموافق
2182	الْأَقْسَام الْآتِيَة	الأقسام الآتية	20	نعت ومنعوت		الأقسام	الآتية
2183	الْأَقْسَام الْأَرْبَعَة	الأقسام الأربعة	20	نعت ومنعوت		الأقسام	الأربعة
2184	الْأَقْسَام الْمَذْكُورَة	الأقسام المذكورة	20	نعت ومنعوت		الأقسام	المذكورة
2185	الْأَقْوَال الْأَرْبَعَة	الأقوال الأربعة	20	نعت ومنعوت		الأقوال	الأربعة
2186	الْأَقْوَال الضَّعِيفَة	الأقوال الضعيفة	20	نعت ومنعوت		الأقوال	الضعيفة
2187	الْأَقْوَال الْمُتَقَدِّمَة	الأقوال المتقدمة	20	نعت ومنعوت		الأقوال	المتقدمة
2188	الْأَقْوَال الْمَذْكُورَة	الأقوال المذكورة	20	نعت ومنعوت		الأقوال	المذكورة
2189	الْأَلَدّ الْخَصِم	الألد الخصم	20	نعت ومنعوت		الألد	الخصم
2190	الْأَلْفِ الْأُخْرَى	الألف الأخرى	20			الألف	الأخرى
2191	الْأَلْف الْبَاقِيَة	الألف الباقية	20	نعت ومنعوت		الألف	الباقية
2192	الْأَلْف الدِّرْهَم	الألف الدرهم	20	نعت ومنعوت		الألف	الدرهم
2193	الْأَلْف الدَّيْن	الألف الدين	20	نعت ومنعوت		الألف	الدين
2194	الْأَلْفَاظ الدَّالَّة	الألفاظ الدالة	20	نعت ومنعوت		الألفاظ	الدالة
2195	الْأَلْفَاظ السَّابِقَة	الألفاظ السابقة	20	نعت ومنعوت		الألفاظ	السابقة
2196	الْأَلْفَاظ الْعَرَبِيَّة	الألفاظ العربية	20	نعت ومنعوت		الألفاظ	العربية
2197	الْأَلْفَاظ اللُّغَوِيَّة	الألفاظ اللغوية	20	نعت ومنعوت		الألفاظ	اللغوية
2198	الْأَلْفَاظ الْمَخْصُوصَة	الألفاظ المخصوصة	20	نعت ومنعوت		الألفاظ	المخصوصة
2199	الْأَلْفَاظ الْمَذْكُورَة	الألفاظ المذكورة	20	نعت ومنعوت		الألفاظ	المذكورة
2200	الْأَلْفَاظ الْمُسْتَعْمَلَة	الألفاظ المستعملة	20	نعت ومنعوت		الألفاظ	المستعملة
2201	الْأَلْفَاظ الْمُطْلَقَة	الألفاظ المطلقة	20	نعت ومنعوت		الألفاظ	المطلقة
2202	الْأَلْفَاظ الْمُلْزِمَة	الألفاظ الملزمة	20	نعت ومنعوت		الألفاظ	الملزمة
2203	الْأَلْفَاظ الْمَوْضُوعَة	الألفاظ الموضوعة	20	نعت ومنعوت		الألفاظ	الموضوعة
2204	الْأَلَم الْحَاصِل	الألم الحاصل	20	نعت ومنعوت		الألم	الحاصل
2205	الْأُمُّ الثُّلُثَ	الأم الثلث	20		Confused;;;الْأُمِّ الثُّلُثُ	الأم	الثلث
2206	الْأُمِّ السُّدُسُ	الأم السدس	20			الأم	السدس
2207	الْأَمَاكِن الْبَعِيدَة	الأماكن البعيدة	20	نعت ومنعوت		الأماكن	البعيدة
2208	الْأَمَانَات الشَّرْعِيَّة	الأمانات الشرعية	20	نعت ومنعوت		الأمانات	الشرعية
2209	الْأَمَةِ الْأَمَةَ	الأمة الأمة	20			الأمة	الأمة
2210	الْأَمَة الْحَامِل	الأمة الحامل	20	نعت ومنعوت		الأمة	الحامل
2211	الْأَمَة الْكَافِرَة	الأمة الكافرة	20	نعت ومنعوت		الأمة	الكافرة
2212	الْأَمَة الْكِتَابِيَّة	الأمة الكتابية	20	نعت ومنعوت		الأمة	الكتابية
2213	الْأَمَة الْمَأْذُون	الأمة المأذون	20	نعت ومنعوت		الأمة	المأذون
2214	الْأَمَة الْمَبِيعَة	الأمة المبيعة	20	نعت ومنعوت		الأمة	المبيعة
2215	الْأَمَة الْمُتَزَوِّجَة	الأمة المتزوجة	20	نعت ومنعوت		الأمة	المتزوجة
2216	الْأَمَة الْمَجُوسِيَّة	الأمة المجوسية	20	نعت ومنعوت		الأمة	المجوسية
2217	الْأَمَة الْمَرْهُونَة	الأمة المرهونة	20	نعت ومنعوت		الأمة	المرهونة
2218	الْأَمَة الْمُزَوَّجَة	الأمة المزوجة	20	نعت ومنعوت		الأمة	المزوجة
2219	الْأَمَة الْمُسْلِمَة	الأمة المسلمة	20	نعت ومنعوت		الأمة	المسلمة
2220	الْأَمَة الْمُشْتَرَكَة	الأمة المشتركة	20	نعت ومنعوت		الأمة	المشتركة
2221	الْأَمَة الْمَغْصُوبَة	الأمة المغصوبة	20	نعت ومنعوت		الأمة	المغصوبة
2222	الْأَمَة الْمَمْلُوكَة	الأمة المملوكة	20	نعت ومنعوت		الأمة	المملوكة
2223	الْأَمَة الْمَنْكُوحَة	الأمة المنكوحة	20	نعت ومنعوت		الأمة	المنكوحة
2224	الْأَمَة الْمَوْطُوءَة	الأمة الموطوءة	20	نعت ومنعوت		الأمة	الموطوءة
2225	الْأَمَة الْمَوْقُوفَة	الأمة الموقوفة	20	نعت ومنعوت		الأمة	الموقوفة
2226	الْأَمَةَ كَالْحُرَّةِ	الأمة كالحرة	40			الأمة	كالحرة
2227	الْأُمَّةَ مُجْمِعَةٌ	الأمة مجمعة	40			الأمة	مجمعة
2228	الْأَمَةُ مُسْتَوْلَدَةً	الأمة مستولدة	40			الأمة	مستولدة
2229	الْأَمَةُ مُسْلِمَةً	الأمة مسلمة	40		Confused;;;الْأَمَةِ مُسْلِمَةً	الأمة	مسلمة
2230	الْأَمَة وَالْحُرَّة	الأمة والحرة	40	نعت ومنعوت		الأمة	والحرة
2231	الْأَمَة وَالذِّمِّيَّة	الأمة والذمية	40	نعت ومنعوت		الأمة	والذمية
2232	الْأَمْتِعَة الثَّقِيلَة	الأمتعة الثقيلة	20	نعت ومنعوت		الأمتعة	الثقيلة
2233	الْأَمْثِلَة الْآتِيَة	الأمثلة الآتية	20	نعت ومنعوت		الأمثلة	الآتية
2234	الْأَمْثِلَة السَّابِقَة	الأمثلة السابقة	20	نعت ومنعوت		الأمثلة	السابقة
2235	الْأَمْثِلَة الْمَذْكُورَة	الأمثلة المذكورة	20	نعت ومنعوت		الأمثلة	المذكورة
2236	الْأَمَدِ الْأَقْصَى	الأمد الأقصى	20			الأمد	الأقصى
2237	الْأَمْر الِاعْتِبَارِيّ	الأمر الاعتباري	20	نعت ومنعوت		الأمر	الاعتباري
2238	الْأَمْر السُّلْطَانِيّ	الأمر السلطاني	20	نعت ومنعوت		الأمر	السلطاني
2239	الْأَمْر الشَّرْعِيّ	الأمر الشرعي	20	نعت ومنعوت		الأمر	الشرعي
2240	الْأَمْر الْعَامّ	الأمر العام	20	نعت ومنعوت		الأمر	العام
2241	الْأَمْر الْعَظِيم	الأمر العظيم	20	نعت ومنعوت		الأمر	العظيم
2242	الْأَمْر الْقَدِيم	الأمر القديم	20	نعت ومنعوت		الأمر	القديم
2243	الْأَمْر الْمُجْتَمَع	الأمر المجتمع	20	نعت ومنعوت		الأمر	المجتمع
2244	الْأَمْر الْمُجْمَع	الأمر المجمع	20	نعت ومنعوت		الأمر	المجمع
2245	الْأَمْر الْمَذْكُور	الأمر المذكور	20	نعت ومنعوت		الأمر	المذكور
2246	الْأَمْر الْمُطْلَق	الأمر المطلق	20	نعت ومنعوت		الأمر	المطلق
2247	الْأَمْر النَّفْسِيّ	الأمر النفسي	20	نعت ومنعوت		الأمر	النفسي
2248	الْأَمْرِ الْوُجُوبُ	الأمر الوجوب	20			الأمر	الوجوب
2249	الْأَمْرَد الْجَمِيل	الأمرد الجميل	20	نعت ومنعوت		الأمرد	الجميل
2250	الْأَمْرَد الْحَسَن	الأمرد الحسن	20	نعت ومنعوت		الأمرد	الحسن
2251	الْأَمْرَيْن اللَّذَيْن	الأمرين اللذين	20	نعت ومنعوت		الأمرين	اللذين
2252	الْأَمْرَيْن الْمَذْكُورَيْن	الأمرين المذكورين	20	نعت ومنعوت		الأمرين	المذكورين
2253	الْأَمْكِنَة وَالْأَزْمِنَة	الأمكنة والأزمنة	40	نعت ومنعوت		الأمكنة	والأزمنة
2254	الْأَمْلَاك الْمُرْسَلَة	الأملاك المرسلة	20	نعت ومنعوت		الأملاك	المرسلة
2255	الْأَمْلَاك الْمُشْتَرَكَة	الأملاك المشتركة	20	نعت ومنعوت		الأملاك	المشتركة
2256	الْأُمَم السَّابِقَة	الأمم السابقة	20	نعت ومنعوت		الأمم	السابقة
2257	الْأُمَم السَّالِفَة	الأمم السالفة	20	نعت ومنعوت		الأمم	السالفة
2258	الْأُمَم الْمَاضِيَة	الأمم الماضية	20	نعت ومنعوت		الأمم	الماضية
2259	الْأَمْوَال الْبَاطِنَة	الأموال الباطنة	20	نعت ومنعوت		الأموال	الباطنة
2260	الْأَمْوَال الرِّبَوِيَّة	الأموال الربوية	20	نعت ومنعوت		الأموال	الربوية
2261	الْأَمْوَال الضَّائِعَة	الأموال الضائعة	20	نعت ومنعوت		الأموال	الضائعة
2262	الْأَمْوَال الظَّاهِرَة	الأموال الظاهرة	20	نعت ومنعوت		الأموال	الظاهرة
2263	الْأَمْوَال الْعَامَّة	الأموال العامة	20	نعت ومنعوت		الأموال	العامة
2264	الْأَمْوَال الْقِيَمِيَّة	الأموال القيمية	20	نعت ومنعوت		الأموال	القيمية
2265	الْأَمْوَال الْمُشْتَرَكَة	الأموال المشتركة	20	نعت ومنعوت		الأموال	المشتركة
2266	الْأُمُور الْآتِيَة	الأمور الآتية	20	نعت ومنعوت		الأمور	الآتية
2267	الْأُمُور الْأَرْبَعَة	الأمور الأربعة	20	نعت ومنعوت		الأمور	الأربعة
2268	الْأُمُور الِاعْتِبَارِيَّة	الأمور الاعتبارية	20	نعت ومنعوت		الأمور	الاعتبارية
2269	الْأُمُور الْبَاطِنَة	الأمور الباطنة	20	نعت ومنعوت		الأمور	الباطنة
2270	الْأُمُور الْخَارِجَة	الأمور الخارجة	20	نعت ومنعوت		الأمور	الخارجة
2271	الْأُمُور الْخَارِجِيَّة	الأمور الخارجية	20	نعت ومنعوت		الأمور	الخارجية
2272	الْأُمُور الدُّنْيَوِيَّة	الأمور الدنيوية	20	نعت ومنعوت		الأمور	الدنيوية
2273	الْأُمُور الدِّينِيَّة	الأمور الدينية	20	نعت ومنعوت		الأمور	الدينية
2274	الْأُمُور الشَّرْعِيَّة	الأمور الشرعية	20	نعت ومنعوت		الأمور	الشرعية
2275	الْأُمُور الضَّرُورِيَّة	الأمور الضرورية	20	نعت ومنعوت		الأمور	الضرورية
2276	الْأُمُور الظَّاهِرَة	الأمور الظاهرة	20	نعت ومنعوت		الأمور	الظاهرة
2277	الْأُمُور الْعَادِيَّة	الأمور العادية	20	نعت ومنعوت		الأمور	العادية
2278	الْأُمُور الْعَامَّة	الأمور العامة	20	نعت ومنعوت		الأمور	العامة
2279	الْأُمُور الْعِظَام	الأمور العظام	20	نعت ومنعوت		الأمور	العظام
2280	الْأُمُور الْمَذْكُورَة	الأمور المذكورة	20	نعت ومنعوت		الأمور	المذكورة
2281	الْأُمُور الْمُهِمَّة	الأمور المهمة	20	نعت ومنعوت		الأمور	المهمة
2282	الْأُمُور النِّسْبِيَّة	الأمور النسبية	20	نعت ومنعوت		الأمور	النسبية
2283	الْأُنْثَيَيْنِ الدِّيَةُ	الأنثيين الدية	20			الأنثيين	الدية
2284	الأَنْصَارِيّ الْخَزْرَجِيّ	الأنصاري الخزرجي	20	نعت ومنعوت	Confused;;;الْأَنْصَارِيّ الْخَزْرَجِيّ	الأنصاري	الخزرجي
2285	الْأَنْفِ الدِّيَةُ	الأنف الدية	20			الأنف	الدية
2286	الأَنْفُسُ الشُّحَّ	الأنفس الشح	20			الأنفس	الشح
2287	الْأَنْكِحَة الْفَاسِدَة	الأنكحة الفاسدة	20	نعت ومنعوت		الأنكحة	الفاسدة
2288	الْأُنْمُلَةِ الْعُلْيَا	الأنملة العليا	20			الأنملة	العليا
2289	الْأَنْهَار الصِّغَار	الأنهار الصغار	20	نعت ومنعوت		الأنهار	الصغار
2290	الْأَنْهَار الْعِظَام	الأنهار العظام	20	نعت ومنعوت		الأنهار	العظام
2291	الْأَنْهَار الْمَمْلُوكَة	الأنهار المملوكة	20	نعت ومنعوت		الأنهار	المملوكة
2292	الْأَنْوَاع الْأَرْبَعَة	الأنواع الأربعة	20	نعت ومنعوت		الأنواع	الأربعة
2293	الْأَهْلِيَّة وَالْمَحَلِّيَّة	الأهلية والمحلية	40	نعت ومنعوت		الأهلية	والمحلية
2294	الأَوَاخِرِ الْحَدِيثَ	الأواخر الحديث	20			الأواخر	الحديث
2295	الْأَوَانِي الْمُتَّخَذَةِ	الأواني المتخذة	20			الأواني	المتخذة
2296	الْأَوْجُه الضَّعِيفَة	الأوجه الضعيفة	20	نعت ومنعوت		الأوجه	الضعيفة
2297	الْأَوْصَاف الْمَذْكُورَة	الأوصاف المذكورة	20	نعت ومنعوت		الأوصاف	المذكورة
2298	الْأَوْضَاع الشَّرْعِيَّة	الأوضاع الشرعية	20	نعت ومنعوت		الأوضاع	الشرعية
2299	الْأَوْقَات الْفَاضِلَة	الأوقات الفاضلة	20	نعت ومنعوت		الأوقات	الفاضلة
2300	الْأَوْقَات الْمَذْكُورَة	الأوقات المذكورة	20	نعت ومنعوت		الأوقات	المذكورة
2301	الْأَوْقَات الْمَكْرُوهَة	الأوقات المكروهة	20	نعت ومنعوت		الأوقات	المكروهة
2302	الْأَوْقَات الْمَنْهِيّ	الأوقات المنهي	20	نعت ومنعوت		الأوقات	المنهي
2303	الْأَوَّلِ الْأَصَحُّ	الأول الأصح	20			الأول	الأصح
2304	الأول الثاني	الأول الثاني	القاعدة	تصنيف		الأول	الثاني
2305	الْأَوَّلُ الثَّمَنَ	الأول الثمن	20			الأول	الثمن
2306	الْأَوَّلِ الرُّجُوعُ	الأول الرجوع	20			الأول	الرجوع
2307	الْأَوَّل الصِّيغَة	الأول الصيغة	20	نعت ومنعوت		الأول	الصيغة
2308	الْأَوَّلِ الْقَوْلُ	الأول القول	20			الأول	القول
2309	الْأَوَّل الْمَذْكُور	الأول المذكور	20	نعت ومنعوت		الأول	المذكور
2310	الْأَوَّل الْمُعْتَمَد	الأول المعتمد	20	نعت ومنعوت		الأول	المعتمد
2311	الْأَوَّلِ النِّصْفَ	الأول النصف	20			الأول	النصف
2312	الْأَوْلَاد الذُّكُور	الأولاد الذكور	20	نعت ومنعوت		الأولاد	الذكور
2313	الْأَوْلَاد الصِّغَار	الأولاد الصغار	20	نعت ومنعوت		الأولاد	الصغار
2314	الْأَوْلَى الْأَخْصَرُ	الأولى الأخصر	20			الأولى	الأخصر
2315	الْأَوْلَى الْإِتْيَانُ	الأولى الإتيان	20			الأولى	الإتيان
2316	الْأَوْلَى الْإِفْرَادُ	الأولى الإفراد	20			الأولى	الإفراد
2317	الْأَوْلَى الِاقْتِصَارَ	الأولى الاقتصار	20		Confused;;;الْأَوْلَى الِاقْتِصَارُ	الأولى	الاقتصار
2318	الْأُولَى الْبُخَارِيُّ	الأولى البخاري	20			الأولى	البخاري
2319	الْأَوْلَى التَّأْنِيثَ	الأولى التأنيث	20		Confused;;;الْأَوْلَى التَّأْنِيثُ	الأولى	التأنيث
2320	الْأَوْلَى التَّثْنِيَةُ	الأولى التثنية	20			الأولى	التثنية
2321	الْأَوْلَى التَّذْكِيرُ	الأولى التذكير	20			الأولى	التذكير
2322	الْأَوْلَى التَّعْبِيرَ	الأولى التعبير	20		Confused;;;الْأَوْلَى التَّعْبِيرُ	الأولى	التعبير
2323	الْأَوْلَى التَّعْلِيلُ	الأولى التعليل	20			الأولى	التعليل
2324	الْأَوْلَى التَّفْرِيعُ	الأولى التفريع	20			الأولى	التفريع
2325	الْأُولَى الْجُمُعَةَ	الأولى الجمعة	20			الأولى	الجمعة
2326	الْأَوْلَى الْعَطْفُ	الأولى العطف	20			الأولى	العطف
2327	الْأَوْلَى الْمُوَافِقُ	الأولى الموافق	20			الأولى	الموافق
2328	الْأَوْلَى الْوَاوُ	الأولى الواو	20			الأولى	الواو
2329	الْأَيَّام الْفَاضِلَة	الأيام الفاضلة	20	نعت ومنعوت		الأيام	الفاضلة
2330	الْأَيَّام الْمَاضِيَة	الأيام الماضية	20	نعت ومنعوت		الأيام	الماضية
2331	الْأَيَّام الْمَذْكُورَة	الأيام المذكورة	20	نعت ومنعوت		الأيام	المذكورة
2332	الْأَيَّام الْمُعْتَادَة	الأيام المعتادة	20	نعت ومنعوت		الأيام	المعتادة
2333	الْأَيَّام الْمَعْلُومَات	الأيام المعلومات	20	نعت ومنعوت		الأيام	المعلومات
2334	الْأَيَّام الْمَنْهِيَّة	الأيام المنهية	20	نعت ومنعوت		الأيام	المنهية
2335	الْأَيَّام الْيَسِيرَة	الأيام اليسيرة	20	نعت ومنعوت		الأيام	اليسيرة
2336	الْإِبَاحَة الْأَصْلِيَّة	الإباحة الأصلية	20	نعت ومنعوت		الإباحة	الأصلية
2337	الْإِبْرَاء الْعَامّ	الإبراء العام	20	نعت ومنعوت		الإبراء	العام
2338	الإبْط الْأَيْمَنِ	الإبط الأيمن	50	مضاف إليه		الإبط	الأيمن
2339	الْإِبِل السَّائِمَةِ	الإبل السائمة	20	نعت ومنعوت		الإبل	السائمة
2340	الْإِجَارَات الْفَاسِدَة	الإجارات الفاسدة	20	نعت ومنعوت		الإجارات	الفاسدة
2341	الْإِجَارَة الصَّحِيحَة	الإجارة الصحيحة	20	نعت ومنعوت		الإجارة	الصحيحة
2342	الْإِجَارَة الطَّوِيلَة	الإجارة الطويلة	20	نعت ومنعوت		الإجارة	الطويلة
2343	الْإِجَارَة الْفَاسِدَة	الإجارة الفاسدة	20	نعت ومنعوت		الإجارة	الفاسدة
2344	الْإِجَارَة الْمَذْكُورَة	الإجارة المذكورة	20	نعت ومنعوت		الإجارة	المذكورة
2345	الْإِجَارَة الْمُضَافَة	الإجارة المضافة	20	نعت ومنعوت		الإجارة	المضافة
2346	الْإِجَارَة الْمَفْسُوخَة	الإجارة المفسوخة	20	نعت ومنعوت		الإجارة	المفسوخة
2347	الْإِجَارَةَ بَاطِلَةٌ	الإجارة باطلة	40		Confused;;;الْإِجَارَةُ بَاطِلَةً	الإجارة	باطلة
2348	الْإِجَارَةُ جَائِزَةً	الإجارة جائزة	40		Confused;;;الْإِجَارَةُ جَائِزَةٌ	الإجارة	جائزة
2349	الْإِجَارَةُ صَحِيحَةً	الإجارة صحيحة	40			الإجارة	صحيحة
2350	الْإِجَارَةَ فَاسِدَةٌ	الإجارة فاسدة	40		Confused;;Confused;;;الْإِجَارَةُ فَاسِدَةً;الْإِجَارَةُ فَاسِدَةٌ	الإجارة	فاسدة
2351	الْإِجَارَةُ مُقَدَّرَةً	الإجارة مقدرة	40			الإجارة	مقدرة
2352	الْإِجَارَة وَالْإِعَارَة	الإجارة والإعارة	40	نعت ومنعوت		الإجارة	والإعارة
2353	الْإِجَارَة وَالْعَارِيَّة	الإجارة والعارية	40	نعت ومنعوت		الإجارة	والعارية
2354	الْإِجَارَة وَالْمُسَاقَاة	الإجارة والمساقاة	40	نعت ومنعوت		الإجارة	والمساقاة
2355	الْإِجَارَة وَالْهِبَة	الإجارة والهبة	40	نعت ومنعوت		الإجارة	والهبة
2356	الْإِجَازَة اللَّاحِقَة	الإجازة اللاحقة	20	نعت ومنعوت		الإجازة	اللاحقة
2357	الْإِجْمَاع السُّكُوتِيّ	الإجماع السكوتي	20	نعت ومنعوت		الإجماع	السكوتي
2358	الْإِجْمَاع الْفِعْلِيّ	الإجماع الفعلي	20	نعت ومنعوت		الإجماع	الفعلي
2359	الْإِجْمَاع الْقَطْعِيّ	الإجماع القطعي	20	نعت ومنعوت		الإجماع	القطعي
2360	الْإِجْمَاع الْمُتَأَخِّر	الإجماع المتأخر	20	نعت ومنعوت		الإجماع	المتأخر
2361	الْإِجْمَاع الْمَذْكُور	الإجماع المذكور	20	نعت ومنعوت		الإجماع	المذكور
2362	الْإِحْرَام الْمُبْهَم	الإحرام المبهم	20	نعت ومنعوت		الإحرام	المبهم
2363	الْإِحْرَام الْمُطْلَق	الإحرام المطلق	20	نعت ومنعوت		الإحرام	المطلق
2364	الْإِخْوَة الْأَشِقَّاء	الإخوة الأشقاء	20	نعت ومنعوت		الإخوة	الأشقاء
2365	الإِدَام الْخَلّ	الإدام الخل	20	نعت ومنعوت	Confused;;;الْإِدَام الْخَلّ	الإدام	الخل
2366	الْإِذْن السَّابِق	الإذن السابق	20	نعت ومنعوت		الإذن	السابق
2367	الْإِذْن الصَّادِق	الإذن الصادق	20	نعت ومنعوت		الإذن	الصادق
2368	الْإِذْن الصَّرِيح	الإذن الصريح	20	نعت ومنعوت		الإذن	الصريح
2369	الْإِذْن الْعَامّ	الإذن العام	20	نعت ومنعوت		الإذن	العام
2370	الْإِذْن الْمُطْلَق	الإذن المطلق	20	نعت ومنعوت		الإذن	المطلق
2371	الْإِرَادَة السَّنِيَّة	الإرادة السنية	20	نعت ومنعوت		الإرادة	السنية
2372	الْإِرْشَاد الصَّغِير	الإرشاد الصغير	20	نعت ومنعوت		الإرشاد	الصغير
2373	الْإِرْشَاد الْكَبِير	الإرشاد الكبير	20	نعت ومنعوت		الإرشاد	الكبير
2374	الْإِسْقَاط الْمَحْض	الإسقاط المحض	20	نعت ومنعوت		الإسقاط	المحض
2375	الْإِسْقَاطَات الْمَحْضَةِ	الإسقاطات المحضة	60	مضاف إليه		الإسقاطات	المحضة
2376	الْإِسْلَام الْأُوزْجَنْدِيّ	الإسلام الأوزجندي	20	نعت ومنعوت		الإسلام	الأوزجندي
2377	الْإِسْلَام الْبَزْدَوِيّ	الإسلام البزدوي	20	نعت ومنعوت		الإسلام	البزدوي
2378	الْإِسْلَام الظَّاهِرَة	الإسلام الظاهرة	20	نعت ومنعوت		الإسلام	الظاهرة
2379	الْإِسْنَاد الْمَجَازِيّ	الإسناد المجازي	20	نعت ومنعوت		الإسناد	المجازي
2380	الْإِشَارَةُ رَاجِعَةٌ	الإشارة راجعة	40			الإشارة	راجعة
2381	الْإِشْكَال الْمَذْكُور	الإشكال المذكور	20	نعت ومنعوت		الإشكال	المذكور
2382	الْإِصَابَة الْمَشْرُوطَة	الإصابة المشروطة	20	نعت ومنعوت		الإصابة	المشروطة
2383	الْإِضَافَة الْبَيَانِيَّة	الإضافة البيانية	20	نعت ومنعوت		الإضافة	البيانية
2384	الْإِضَافَةَ بَيَانِيَّةٌ	الإضافة بيانية	40		Confused;;Confused;;;الْإِضَافَةُ بَيَانِيَّةً;الْإِضَافَةُ بَيَانِيَّةٌ	الإضافة	بيانية
2385	الْإِطْلَاقِ الْحَقِيقَةُ	الإطلاق الحقيقة	20			الإطلاق	الحقيقة
2386	الْإِطْلَاق الْمَذْكُور	الإطلاق المذكور	20	نعت ومنعوت		الإطلاق	المذكور
2387	الْإِعَارَة الْمُطْلَقَة	الإعارة المطلقة	20	نعت ومنعوت		الإعارة	المطلقة
2388	الْإِعَارَةُ مُطْلَقَةً	الإعارة مطلقة	40			الإعارة	مطلقة
2389	الْإِعَارَة وَالْإِجَارَة	الإعارة والإجارة	40	نعت ومنعوت		الإعارة	والإجارة
2390	الْإِقَالَة وَالتَّوْلِيَة	الإقالة والتولية	40	نعت ومنعوت		الإقالة	والتولية
2391	الْإِقَامَةُ بِمَكَّةَ	الإقامة بمكة	40		Confused;;Confused;;;الْإِقَامَةِ بِمَكَّةَ;الْإِقَامَة بِمَكَّة	الإقامة	بمكة
2392	الْإِقَامَة وَالصَّلَاة	الإقامة والصلاة	40	نعت ومنعوت		الإقامة	والصلاة
2393	الْإِقْرَار الْمَذْكُور	الإقرار المذكور	20	نعت ومنعوت		الإقرار	المذكور
